name,artist,url,is_public_domain,length,width,label,split,cifar_index
frank-omeara_towards-night-and-winter.jpg,frank-omeara,https://uploads5.wikiart.org/00316/images/frank-omeara/towards-night-and-winter.jpg,True,800,657,impressionism,train,43186
goldstein-grigoriy_morning.jpg,goldstein-grigoriy,https://uploads5.wikiart.org/images/grigoriy-goldstein/morning.jpg,True,521,499,impressionism,train,41151
georges-lemmen_man-reading.jpg,georges-lemmen,https://uploads6.wikiart.org/images/georges-lemmen/man-reading.jpg,True,800,612,impressionism,train,9754
theodor-aman_port-of-constantza-1882.jpg,theodor-aman,https://uploads6.wikiart.org/images/theodor-aman/port-of-constantza-1882.jpg,True,560,336,impressionism,train,44244
niccolo-cannicci_il-passo-della-futa-1914.jpg,niccolo-cannicci,https://uploads3.wikiart.org/images/niccolo-cannicci/il-passo-della-futa-1914.jpg,True,2400,2322,impressionism,train,46885
howard-pyle_headpiece-for-good-for-the-soul-1898.jpg,howard-pyle,https://uploads1.wikiart.org/images/howard-pyle/headpiece-for-good-for-the-soul-1898.jpg,True,1280,983,impressionism,train,46285
julian-alden-weir_nassau-bahamas-1913.jpg,julian-alden-weir,https://uploads8.wikiart.org/images/julian-alden-weir/nassau-bahamas-1913.jpg,True,997,906,impressionism,train,43268
ivan-vladimirov_rocks-of-the-gulf-of-finland.jpg,ivan-vladimirov,https://uploads5.wikiart.org/images/ivan-vladimirov/rocks-of-the-gulf-of-finland.jpg,True,600,470,impressionism,train,26731
laura-knight_a-dressing-room-at-drury-lane-1952.jpg,laura-knight,https://uploads0.wikiart.org/images/laura-knight/a-dressing-room-at-drury-lane-1952.jpg,False,685,568,impressionism,train,49970
raoul-dufy_self-portrait-1899.jpg,raoul-dufy,https://uploads0.wikiart.org/images/raoul-dufy/self-portrait-1899.jpg,True,1344,1056,impressionism,train,8587
nathaniel-hone-the-younger_an-italian-village-by-the-sea.jpg,nathaniel-hone-the-younger,https://uploads6.wikiart.org/00316/images/nathaniel-hone-the-younger/an-italian-village-by-the-sea.jpg,True,719,620,impressionism,test,395
john-varley-ii_the-citadel-and-mosque-of-mehemet-ali-cairo-1901.jpg,john-varley-ii,https://uploads7.wikiart.org/images/john-varley-ii/the-citadel-and-mosque-of-mehemet-ali-cairo-1901.jpg,True,900,611,impressionism,train,24206
maurice-boitel_h-tel-de-la-plage.jpg,maurice-boitel,https://uploads2.wikiart.org/images/maurice-boitel/h-tel-de-la-plage.jpg,False,550,398,impressionism,train,37940
eliseu-visconti_self-portrait-1902.jpg,eliseu-visconti,https://uploads5.wikiart.org/images/eliseu-visconti/self-portrait-1902.jpg,True,647,500,impressionism,train,39744
colette-pope-heldner_lafitte-blachsmiths-shop-old-new-orlean.jpg,colette-pope-heldner,https://uploads1.wikiart.org/00312/images/colette-pope-heldner/lafitte-blachsmith-s-shop-old-new-orlean.jpg,False,705,571,impressionism,train,46568
alejandro-cabeza_landscape-of-javea-2018.jpg,alejandro-cabeza,https://uploads4.wikiart.org/00379/images/alejandro-cabeza/javea-alejandro-cabeza.jpg,False,4232,3012,impressionism,train,21240
honore-daumier_don-quixote-and-sancho-pansa-1870.jpg,honore-daumier,https://uploads7.wikiart.org/images/honore-daumier/don-quixote-and-sancho-pansa-2.jpg,True,2271,1576,impressionism,train,2713
dimitrie-paciurea_gigant.jpg,dimitrie-paciurea,https://uploads4.wikiart.org/images/dimitrie-paciurea/gigant.jpg,True,600,450,impressionism,train,30814
theodor-philipsen_cattle-near-a-gate-saltholm.jpg,theodor-philipsen,https://uploads7.wikiart.org/images/theodor-philipsen/cattle-near-a-gate-saltholm.jpg,True,750,503,impressionism,train,37647
